,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,Harald Krug,https://lh3.googleusercontent.com/a-/AOh14Gg8c0R3EthN47dqxNGc4UcO0UYygYkfsza8Uq2hvWg,"Nach Anfangsprobleme werden jetzt die Daten wohl übertragen, was die App bringt ist mir unklar, aber schadet ja nicht!",3,0,1.0.9,2020-05-05T14:38:01,,
1,Manja Freydank,https://lh3.googleusercontent.com/-2BQJF1-1iO0/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJPQBOX5zV5i3UOhGrshOTXmJ-b5IA/photo.jpg,"Abzug weil man nicht sehen kann, was man ubermittelt und Abzug weil man ne App kaufen muss um von SamsungHealth zu googlefit zu synchronisieren...",3,0,1.0.9,2020-05-05T13:09:07,,
2,Gerd Kalmring,https://lh3.googleusercontent.com/a-/AOh14GjeMb0_YgjsbDsb9Fztk4lhnMyKRNZBV0b4UdUUqw,"Geht nicht mit meiner Watch , es wäre schön wenn man mehr Geräte einbeziehen würde, das würde sicher die Effizienz erhöhen oder????",1,0,,2020-05-05T12:41:16,,
3,Ladestation Cola,https://lh3.googleusercontent.com/-nwr5A0VYb2w/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNA5HO96laKvz0-pxZzTVshkpzkBw/photo.jpg,"Abgesehen davon, dass am Anfang nicht einmal die Anmeldung über Google funktionierte kann ich auch meine Galaxy Watch nicht hinzufügen.",3,0,1.0.9,2020-05-05T12:23:43,,
4,V L,https://lh3.googleusercontent.com/-XH1UuLq08-4/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJMETKlx_FNpPcKv5dgIzjEskA-7oQ/photo.jpg,Suunto wird leider nicht unterstützt. So kann ich leider nichts dazu beitragen....,2,0,1.0.8,2020-05-05T10:40:27,,
5,Melanie Kießig,https://lh3.googleusercontent.com/a-/AOh14GhDAstp3MG0MAhyW--QzZK-94rLW_BDQFZ9xuJc,"Leider nicht nutzbar, Samsung fehlt. Ich hätte sie sonst gerne genutzt und viele andere Leute auch.",1,0,1.0.9,2020-05-05T10:39:02,,
6,Sonja Zimmermann,https://lh3.googleusercontent.com/-FmcBQx0eBqE/AAAAAAAAAAI/AAAAAAAAAXk/AAKWJJNK_ssC0nt7KE_IJJBEjQt9lRlmRw/photo.jpg,"Wo kann man denn seine gesammelten Daten sehen ? Was sammelt die App denn ? Ich werde sie wieder löschen, macht keinen Sinn, wenn man nicht mal seine Daten im Überblick hat.",1,0,1.0.9,2020-05-05T09:08:50,,
7,Manfred Pfaffenbach,https://lh3.googleusercontent.com/a-/AOh14Gj8ARgrlqjkZJYzZYTpdoOeYHzttNF-VfiNEiq3,"Solange die beiden wichtigsten Anbieter, Samsung und Huawei, nicht unterstützt werden, ist diese App ein Witz und wird keinen Erfolg haben.",1,0,1.0.9,2020-05-05T08:15:54,,
8,Arne Burkandt,https://lh3.googleusercontent.com/-uotMp_OHoJM/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJO4PpMyj94peDndkoKJ47cNf55PuA/photo.jpg,"Es wird ein Wearble gefordert, nur leider nur wenige Hersteller unterstützt. Der Hersteller meiner SmartWatch (in meinem Fall: Denver) wird leider nicht aufgeführt, was ich erst während der Einrichtung merken konnte. Edit: inzwischen festgestellt: da ist dank Google-Fit doch noch eine Möglichkeit zur Kopplung, was nicht sofort ersichtlich war.",5,0,1.0.9,2020-05-05T08:08:58,,
9,Marco Woll,https://lh3.googleusercontent.com/a-/AOh14Gg5HsZL6XKL-MDUilJ4S41KjvlsHRkgqkaeUdKy,Funktioniert mit der Fitbit von Anfang an ohne Probleme 👍,5,0,1.0.8,2020-05-04T23:29:44,,
