,index,date,id,title,content,im_votesum,im_votecount,score,version,author,source,userImage,thumbsUpCount,replyContent,repliedAt
9579,,2020-04-07 10:36:59+00:00,,,Verbindet sich nicht mit Google fit. Nur Fehlermeldung,,,1,1.0.1,Michael Drews,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GiKirLyJcqk1faSiw8ndYbamFehXy0VbYDHxRsUWQ,0.0,,
8306,,2020-04-07 16:55:21+00:00,,,Leider nicht nutzbar da meine SmartWatch (Huawei) und auch Sigma ROX12 Sport(GPS Gerät) nicht nutzbar sind.. Hoffe es wird noch nachgebessert,,,1,1.0.1,joachim brunsch,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GiuOlS8OtgcKapBGkwlOrCeTqBKfW3h6-eLJxQ9zw,0.0,,
7534,,2020-04-07 19:22:49+00:00,,,Das Verknüpfen der jeweiligen Accounts im Wrapper wird zumindest auf dem Galaxy S20+ unterbunden. Man kann sich nicht im Account anmelden. So ist die App völlig nutzlos.,,,1,1.0.1,Ingo Vogelmann,PlayStore,https://lh3.googleusercontent.com/a-/AOh14Ggt0rLm-mN3f3OTYL8jSsS2wprL68T-o-054JotL7s,0.0,,
9211,,2020-04-07 12:58:25+00:00,,,"Bei Samsung Galaxy nicht möglich, schade",,,1,1.0.1,Nicole Mayrhofer,PlayStore,https://lh3.googleusercontent.com/-JXa4jZvMG9w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckbvIFrLVwOuVS0EB_Gg7-XpZVF0Q/photo.jpg,0.0,,
8091,,2020-04-07 17:35:45+00:00,,,SAMSUNG????,,,1,1.0.1,Jörg Pieschel,PlayStore,https://lh3.googleusercontent.com/a-/AOh14Ghc6ijaDRp8t_EKdWiQGKA98z2TLqywW1xu8lI41_w,0.0,,
9014,,2020-04-07 13:59:47+00:00,,,Totaler Mist! Man kann sie nicht mal installieren,,,1,1.0.1,Susanne Stubbe,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GjG5LDt_kKV4w7jtNnkjXZ0JEPzJuxNVFrQn-zZDw,0.0,,
8475,,2020-04-07 16:15:06+00:00,,,Raten aller Anmeldungen zu viel. Dabei wollte ich helfen. Wirklich schade...,,,1,1.0.1,Rene Eichner,PlayStore,https://lh3.googleusercontent.com/-fR4dxEVQeBc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclTZKKErOD7kYJdVQQpS_zmGKq9jg/photo.jpg,0.0,,
7278,,2020-04-07 20:10:26+00:00,,,Klappt nicht..,,,1,1.0.1,Jay Ar,PlayStore,https://lh3.googleusercontent.com/a-/AOh14Gg3nr9qZaM6en3hiNeFYConLyaOvWZ9rrneCTf3zw,1.0,,
7974,,2020-04-07 17:58:30+00:00,,,"Funktioniert anscheinend nicht mit Samsung wearebel, über Google kein anmelden möglich.",,,1,1.0.1,Jan Müter,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GjNkJsz6N96GGAOFdJkkMwUR3oNcJm_wZJwYnG0Qw,0.0,,
7819,,2020-04-07 18:33:42+00:00,,,funktioniert nicht,,,1,1.0.1,sabine wiedemann,PlayStore,https://lh3.googleusercontent.com/-aAKss8AyDaI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclqNJ0qgoDK8um8frq3SRW8GwhfUQ/photo.jpg,0.0,,
7199,,2020-04-07 20:28:00+00:00,,,"Mi wird nicht unterstützt. Da ich damit aber tracke, kann ich meine Daten leider nicht spenden",,,2,1.0.1,Miriam Schubert,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GixNvm1X2ucb4LSQaIUgE36aLfNzkG9gsg0fR98zw,0.0,,
8915,,2020-04-07 14:34:03+00:00,,,Schade. Ich have eine Uhr von Huawei. Diese wird nicht unterstützt.,,,2,1.0.1,Anja Goldbach,PlayStore,https://lh3.googleusercontent.com/-Y7k62VdL-_I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnMUKSSIHDlizBsTTF07QqfgSJ0yQ/photo.jpg,1.0,,
8794,,2020-04-07 15:10:22+00:00,,,"Leider fehlen die Samsung Smarwatches Watch Active derzeit noch, so kann ich leider nicht helfen.",,,2,1.0.1,hubert engler,PlayStore,https://lh3.googleusercontent.com/-uWjcBILz2SM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm88S2WWVCh005f3Syy5EMQw28Ymg/photo.jpg,0.0,,
5760,,2020-04-08 11:23:42+00:00,,,An sich eine gute Idee. Leider zu wenige Wearables integriert (z. B. meine Samsung Galaxy Watch),,,2,1.0.1,Oliver G.,PlayStore,https://lh3.googleusercontent.com/a-/AOh14Gh1l3nexs2QOQwNtRreXCqRO3PyCWUwaBaNNPho,0.0,,
8139,,2020-04-07 17:26:22+00:00,,,Samsung Health bitte noch hinzufügen,,,2,1.0.1,Stefan Schwartz,PlayStore,https://lh3.googleusercontent.com/a-/AOh14Gh8G_IGyqcoAkXoCy9emrtaoaG6cLcGx4vF67ieBQ,0.0,,
8114,,2020-04-07 17:31:51+00:00,,,"Samsung Health wird nicht angeboten? Habe es dann über die Google Fit App versucht , die ist scheinbar überansprucht.",,,2,1.0.1,Arien Johnson,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GgGwbqJOTBMfV2S8K_YfsuUGWA6X3F8h3YAux30,0.0,,
8040,,2020-04-07 17:44:13+00:00,,,"Bitte Huawei Fitness Tracker zufügen, kann so leider nichts dazu beitragen, würde aber gerne Unterstützung geben. Danke und viel Erfolg!!",,,2,1.0.1,Torsten Klasen,PlayStore,https://lh3.googleusercontent.com/-juWGg5QENvc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck3oNSGm6apoY4PGa-_lY2hFvzk7Q/photo.jpg,0.0,,
